欧美剧,#genre#
特别小组,https://v14.qdhdcate.com/yyv14/202509/08/97u7WgJpeM19/video/index.m3u8
联邦调查局：通缉要犯第六季,https://v14.qdhdcate.com/yyv14/202506/04/ZhzHsWAE3023/video/index.m3u8#第02集$https://v14.qdhdcate.com/yyv14/202506/09/30hfyQg8Cd19/video/index.m3u8#第03集$https://v14.qdhdcate.com/yyv14/202506/16/WtTDT3HAtw23/video/index.m3u8#第04集$https://v14.qdhdcate.com/yyv14/202506/23/RQCgdTzDw724/video/index.m3u8#第05集$https://v14.qdhdcate.com/yyv14/202506/30/izDgeeRRnW24/video/index.m3u8#第06集$https://v14.qdhdcate.com/yyv14/202507/07/fTy3vXexgZ20/video/index.m3u8#第07集$https://v13.qdhdcate.com/yyv13/202507/14/iRhak7wysu22/video/index.m3u8#第08集$https://v14.qdhdcate.com/yyv14/202507/21/imRw755HJr22/video/index.m3u8#第09集$https://v13.qdhdcate.com/yyv13/202507/28/dht4j3pTKD22/video/index.m3u8#第10集$https://v13.qdhdcate.com/yyv13/202508/04/hcA7EZd3aY23/video/index.m3u8#第11集$https://v13.qdhdcate.com/yyv13/202508/11/uHRbkxhmkM20/video/index.m3u8#第12集$https://v14.qdhdcate.com/yyv14/202508/18/ki25i8SMCL21/video/index.m3u8#第13集$https://v14.qdhdcate.com/yyv14/202508/25/m3MnFdF50G20/video/index.m3u8#第14集$https://v13.qdhdcate.com/yyv13/202509/01/JCrnaUjnbU21/video/index.m3u8#第15集$https://v14.qdhdcate.com/yyv14/202509/08/rcGS85fJY423/video/index.m3u8
丑女贝蒂：故事继续第二季,https://v14.qdhdcate.com/yyv14/202508/15/GnMUPuDK5D24/video/index.m3u8#第02集$https://v14.qdhdcate.com/yyv14/202508/15/SXrePn7Z0121/video/index.m3u8#第03集$https://v14.qdhdcate.com/yyv14/202508/29/4napHFbsEz19/video/index.m3u8#第04集$https://v14.qdhdcate.com/yyv14/202508/29/jcKeUbqr8P23/video/index.m3u8#第05集$https://v13.qdhdcate.com/yyv13/202508/29/JkM7Vkt4KA23/video/index.m3u8#第06集$https://v13.qdhdcate.com/yyv13/202508/29/McXzEYpGfY21/video/index.m3u8#第07集$https://v14.qdhdcate.com/yyv14/202509/05/yBDGndU2Nc20/video/index.m3u8#第08集$https://v14.qdhdcate.com/yyv14/202509/05/YxZBEmhNjM22/video/index.m3u8
国王与征服者,https://v14.qdhdcate.com/yyv14/202508/30/B12uXv8qKV21/video/index.m3u8#第02集$https://v13.qdhdcate.com/yyv13/202508/30/Z03K6ZFiz619/video/index.m3u8#第03集$https://v13.qdhdcate.com/yyv13/202509/01/LmKRQK2FBB20/video/index.m3u8#第04集$https://v13.qdhdcate.com/yyv13/202509/08/3jd4pspF0Y20/video/index.m3u8
行尸走肉：达里尔·迪克森第三季,https://v14.qdhdcate.com/yyv14/202509/08/awesvLNLVh23/video/index.m3u8
联邦调查局：国际第四季,https://v6.qdhdcate.com/yyv6/202410/22/hidi1crfpA24/video/index.m3u8#第02集$https://v5.qdhdcate.com/yyv5/202410/31/2GSX3d7hGD21/video/index.m3u8#第03集$https://v5.qdhdcate.com/yyv5/202410/31/MafH3Mcgps24/video/index.m3u8#第04集$https://v4.qdhdcate.com/yyv4/202411/28/EEvrDKG6aD22/video/index.m3u8#第05集$https://v2.qdhdcate.com/yyv2/202411/28/bABTi32Rzp19/video/index.m3u8#第06集$https://v3.qdhdcate.com/yyv3/202412/06/M5XZ4K9tbP23/video/index.m3u8#第07集$https://v3.qdhdcate.com/yyv3/202412/15/X2twBvHNkS19/video/index.m3u8#第08集$https://v3.qdhdcate.com/yyv3/202412/20/M6Q0h5iefQ20/video/index.m3u8#第09集$https://v2.qdhdcate.com/yyv2/202502/12/NxVNaQds7c23/video/index.m3u8#第10集$https://v3.qdhdcate.com/yyv3/202503/04/utzpfuteBt20/video/index.m3u8#第11集$https://v13.qdhdcate.com/yyv13/202508/18/m41giePN3D23/video/index.m3u8#第12集$https://v13.qdhdcate.com/yyv13/202508/18/fMzf5MwhHX23/video/index.m3u8#第13集$https://v13.qdhdcate.com/yyv13/202508/18/F60pDwj1yx21/video/index.m3u8#第14集$https://v14.qdhdcate.com/yyv14/202508/25/MqZPgzdpDk22/video/index.m3u8#第15集$https://v14.qdhdcate.com/yyv14/202509/01/0h4S1QdW7E20/video/index.m3u8#第16集$https://v14.qdhdcate.com/yyv14/202509/08/A9ssMTVNTP24/video/index.m3u8
大楼里只有谋杀第五季,https://v13.qdhdcate.com/yyv13/202509/09/6pEWw82r3M21/video/index.m3u8#第02集$https://v14.qdhdcate.com/yyv14/202509/09/fwbQHrMrVc24/video/index.m3u8#第03集$https://v13.qdhdcate.com/yyv13/202509/09/xSUy7qjAhb22/video/index.m3u8
入侵第三季,https://v14.qdhdcate.com/yyv14/202508/22/Uu4UFcrAey22/video/index.m3u8#第02集$https://v14.qdhdcate.com/yyv14/202508/29/rw4PbMem9z21/video/index.m3u8#第03集$https://v14.qdhdcate.com/yyv14/202509/05/nEb015F2iT22/video/index.m3u8
战酋,https://v14.qdhdcate.com/yyv14/202508/01/AqDcQEw2jy22/video/index.m3u8#第02集$https://v14.qdhdcate.com/yyv14/202508/01/ujTTCKAUqU20/video/index.m3u8#第03集$https://v14.qdhdcate.com/yyv14/202508/08/aHfCTyBqdW22/video/index.m3u8#第04集$https://v13.qdhdcate.com/yyv13/202508/15/jy0EFTu0FP23/video/index.m3u8#第05集$https://v14.qdhdcate.com/yyv14/202508/22/Q4TkCv3MTw24/video/index.m3u8#第06集$https://v13.qdhdcate.com/yyv13/202508/29/V27Mzdizu719/video/index.m3u8#第07集$https://v13.qdhdcate.com/yyv13/202509/05/vVycNFpu4x22/video/index.m3u8
和平使者第二季,https://v14.qdhdcate.com/yyv14/202508/22/Z46Kq1HEeG19/video/index.m3u8#第02集$https://v14.qdhdcate.com/yyv14/202508/29/7PPTFhdTup21/video/index.m3u8#第03集$https://v14.qdhdcate.com/yyv14/202509/05/Fm4GfriAdr19/video/index.m3u8
基地第三季,https://v14.qdhdcate.com/yyv14/202507/11/pYqLh8mzGk23/video/index.m3u8#第02集$https://v13.qdhdcate.com/yyv13/202507/18/ZuTPqrLWpK24/video/index.m3u8#第03集$https://v13.qdhdcate.com/yyv13/202507/25/kWcPXaGawM19/video/index.m3u8#第04集$https://v13.qdhdcate.com/yyv13/202508/01/YCAiF0945r24/video/index.m3u8#第05集$https://v13.qdhdcate.com/yyv13/202508/08/X7CRvEqm6s20/video/index.m3u8#第06集$https://v14.qdhdcate.com/yyv14/202508/15/j33uiwH1DB22/video/index.m3u8#第07集$https://v14.qdhdcate.com/yyv14/202508/22/jFCFVevtuh20/video/index.m3u8#第08集$https://v14.qdhdcate.com/yyv14/202508/29/1NgqRAJ0nh20/video/index.m3u8#第09集$https://v14.qdhdcate.com/yyv14/202509/05/HAyNVDPv4v24/video/index.m3u8
星际迷航：奇异新世界第三季,https://v14.qdhdcate.com/yyv14/202507/17/2icGaLnmAK19/video/index.m3u8#第02集$https://v13.qdhdcate.com/yyv13/202507/18/gtSVqN0GSv24/video/index.m3u8#第03集$https://v13.qdhdcate.com/yyv13/202507/26/qJFC9MXH8y23/video/index.m3u8#第04集$https://v13.qdhdcate.com/yyv13/202508/01/kJd2sFJP9k20/video/index.m3u8#第05集$https://v13.qdhdcate.com/yyv13/202508/08/fU8WyPE1ps21/video/index.m3u8#第06集$https://v14.qdhdcate.com/yyv14/202508/15/WWg726qmy921/video/index.m3u8#第07集$https://v14.qdhdcate.com/yyv14/202508/23/KctXYYZU0H19/video/index.m3u8#第08集$https://v13.qdhdcate.com/yyv13/202508/30/duENFdrAqM20/video/index.m3u8#第09集$https://v14.qdhdcate.com/yyv14/202509/04/tLcJGuggMb22/video/index.m3u8
